secid,date,ticker,low,high,open,close,volume
108105,20010102,SPX,1276.05,1320.28,1320.28,1283.27,0
108105,20010103,SPX,1274.62,1347.76,1283.27,1347.56,0
108105,20010104,SPX,1329.14,1350.24,1347.56,1333.34,0
108105,20010105,SPX,1294.95,1334.77,1333.34,1298.35,0
108105,20010108,SPX,1276.29,1298.35,1298.35,1295.86,0
108105,20010109,SPX,1295.14,1311.72,1295.86,1300.8,0
108105,20010110,SPX,1287.28,1313.76,1300.8,1313.27,0
108105,20010111,SPX,1309.72,1332.19,1313.27,1326.82,0
108105,20010112,SPX,1311.59,1333.21,1326.82,1318.32,0
108105,20010116,SPX,1313.33,1327.81,1318.32,1326.65,0
108105,20010117,SPX,1325.41,1346.92,1326.65,1329.47,0
108105,20010118,SPX,1327.41,1352.71,1329.89,1347.97,0
108105,20010119,SPX,1336.74,1354.55,1347.97,1342.54,0
108105,20010122,SPX,1333.84,1353.62,1342.54,1342.9,0
108105,20010123,SPX,1339.63,1362.9,1342.9,1360.4,0
108105,20010124,SPX,1357.28,1369.75,1360.4,1364.3,0
108105,20010125,SPX,1354.63,1367.35,1364.3,1357.51,0
108105,20010126,SPX,1342.75,1357.51,1357.51,1354.95,0
108105,20010129,SPX,1350.36,1365.54,1354.92,1364.17,0
108105,20010130,SPX,1356.2,1375.68,1364.17,1373.73,0
108105,20010131,SPX,1364.66,1383.37,1373.73,1366.01,0
108105,20010201,SPX,1359.34,1373.5,1366.01,1373.47,0
108105,20010202,SPX,1348.72,1376.38,1373.47,1349.47,0
108105,20010205,SPX,1344.48,1354.56,1349.47,1354.31,0
108105,20010206,SPX,1350.04,1363.55,1354.31,1352.26,0
108105,20010207,SPX,1334.26,1352.26,1352.26,1340.89,0
108105,20010208,SPX,1332.42,1350.32,1341.1,1332.53,0
108105,20010209,SPX,1309.98,1332.53,1332.53,1314.76,0
108105,20010212,SPX,1313.64,1330.96,1314.76,1330.31,0
108105,20010213,SPX,1317.51,1336.62,1330.31,1318.8,0
108105,20010214,SPX,1304.72,1320.73,1318.8,1315.92,0
108105,20010215,SPX,1315.92,1331.29,1315.92,1326.61,0
108105,20010216,SPX,1293.18,1326.61,1326.61,1301.53,0
108105,20010220,SPX,1278.44,1307.16,1301.53,1278.94,0
108105,20010221,SPX,1253.16,1282.97,1278.94,1255.27,0
108105,20010222,SPX,1228.33,1259.94,1255.27,1252.82,0
108105,20010223,SPX,1215.44,1252.82,1252.82,1245.86,0
108105,20010226,SPX,1241.71,1267.69,1245.86,1267.65,0
108105,20010227,SPX,1252.26,1272.76,1267.65,1257.94,0
108105,20010228,SPX,1229.65,1263.47,1257.94,1239.94,0
108105,20010301,SPX,1214.5,1241.36,1239.94,1241.23,0
108105,20010302,SPX,1219.74,1251.01,1241.23,1234.18,0
